Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Founded,Company Industry,Company Revenue,Country,State
Machine Learning Engineer,Australia,Leidos,182000,118000,246000,10000+ Employees,Company - Public,Aerospace & Defence,1969.0,Aerospace & Defence,$10+ billion (USD),Australia,South Australia
Electronics Technician IV,Adelaide,Australian Government Department of Defence,84499,71000,98000,10000+ Employees,Government,Government & Public Administration,,National Services & Agencies,$10+ billion (USD),Australia,South Australia
Assistant Director Research Scientist,Adelaide,Department of Agriculture & Water Resources,120033,116000,124000,5001 to 10000 Employees,Government,Government & Public Administration,,National Services & Agencies,$500 million to $1 billion (USD),Australia,South Australia
Executive Assistant,Adelaide,SA Government -DEPARTMENT FOR ENVIRONMENT AND WATER,68739,63000,75000,1001 to 5000 Employees,Company - Public,,,,Unknown / Non-Applicable,Australia,South Australia
Project Manager II,Adelaide,Australian Security Intelligence Organisation,153510,141000,166000,Unknown,Company - Private,,,,Unknown / Non-Applicable,Australia,South Australia
Advisor,Adelaide,CSIRO,109500,105000,114000,5001 to 10000 Employees,Government,Government & Public Administration,1926.0,National Services & Agencies,$500 million to $1 billion (USD),Australia,South Australia
Technical Analyst IV,South Australia,University of South Australia,71939,68000,76000,1001 to 5000 Employees,Contract,Education,,Colleges & Universities,$500 million to $1 billion (USD),Australia,South Australia
Associate Research Assistant,Adelaide,University of South Australia,74385,74000,74000,1001 to 5000 Employees,Contract,Education,,Colleges & Universities,$500 million to $1 billion (USD),Australia,South Australia
Business Analyst,Adelaide,Serco,80370,80000,81000,10000+ Employees,Company - Public,Human Resources & Staffing,1987.0,HR Consulting,$5 to $10 billion (USD),Australia,South Australia
Assistant QA Analyst,Modbury,vivoPharm,76640,64000,93000,1 to 50 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,South Australia
Product Manager,Adelaide,Thermo Fisher Scientific,81451,71000,94000,10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,1902.0,Biotech & Pharmaceuticals,$10+ billion (USD),Australia,South Australia
Communications Coordinator,Adelaide,SA Government -DEPARTMENT FOR ENVIRONMENT AND WATER,92661,81000,106000,1001 to 5000 Employees,Company - Public,,,,Unknown / Non-Applicable,Australia,South Australia
APS Level 4/5-6 (S&T 3-4) and Executive Level 1 (S&T 5) - Undersea Systems Technologist / Senior Technologist,Adelaide,Australian Government Department of Defence,96626,71000,122000,10000+ Employees,Government,Government & Public Administration,,National Services & Agencies,$10+ billion (USD),Australia,South Australia
Compliance Analyst,Adelaide,CSIRO,77441,68000,87000,5001 to 10000 Employees,Government,Government & Public Administration,1926.0,National Services & Agencies,$500 million to $1 billion (USD),Australia,South Australia
Researcher,Adelaide,The University of Adelaide,91402,91000,91000,1001 to 5000 Employees,College / University,Education,,Colleges & Universities,$500 million to $1 billion (USD),Australia,South Australia
Lead Editorial Assistant,Adelaide,Moving Picture Company,65487,51000,85000,1001 to 5000 Employees,Company - Private,Media & Communication,1970.0,Film Production,$100 to $500 million (USD),Australia,South Australia
Software Developer,Adelaide,Data Action,90830,75000,110000,51 to 200 Employees,Company - Private,,,,Unknown / Non-Applicable,Australia,South Australia
Database Developer,Adelaide,FinXL,116026,106000,127000,201 to 500 Employees,Company - Private,Management & Consulting,2003.0,Business Consulting,$100 to $500 million (USD),Australia,South Australia
Assistant Finance Manager,Adelaide,"Department of Industry, Science, Energy & Resources",104120,75000,145000,1001 to 5000 Employees,Government,Government & Public Administration,,National Services & Agencies,Unknown / Non-Applicable,Australia,South Australia
Administrative Assistant,Adelaide,The University of Adelaide,69444,66000,73000,1001 to 5000 Employees,College / University,Education,,Colleges & Universities,$500 million to $1 billion (USD),Australia,South Australia
Senior Software Architect,Adelaide,HAYS,160000,160000,160000,5001 to 10000 Employees,Company - Private,Human Resources & Staffing,1968.0,HR Consulting,$2 to $5 billion (USD),Australia,South Australia
Support Engineer,Adelaide,DTEX Systems,62152,58000,67000,51 to 200 Employees,Company - Private,Information Technology,2002.0,Enterprise Software & Network Solutions,$5 to $25 million (USD),Australia,South Australia
Software Engineer,Adelaide,Canonical - Jobs,133704,122000,146000,501 to 1000 Employees,Company - Private,Information Technology,2004.0,Computer Hardware Development,$25 to $50 million (USD),Australia,South Australia
Software Architect,Adelaide,Redwolf + Rosch,83731,68000,103000,1 to 50 Employees,Company - Private,Information Technology,2013.0,Internet & Web Services,Unknown / Non-Applicable,Australia,South Australia
Software Engineer,Adelaide,Canonical - Jobs,133704,122000,146000,501 to 1000 Employees,Company - Private,Information Technology,2004.0,Computer Hardware Development,$25 to $50 million (USD),Australia,South Australia
Software Engineer,Adelaide,Canonical - Jobs,133135,122000,145000,501 to 1000 Employees,Company - Private,Information Technology,2004.0,Computer Hardware Development,$25 to $50 million (USD),Australia,South Australia
Physics Teacher,Adelaide,Department for Education and Child Development (DECD),91605,75000,108000,5001 to 10000 Employees,Government,Government & Public Administration,,National Services & Agencies,Unknown / Non-Applicable,Australia,South Australia
Senior Consultant,Adelaide,CyberCX,88487,65000,120000,1001 to 5000 Employees,Company - Private,Information Technology,2019.0,Information Technology Support Services,$100 to $500 million (USD),Australia,South Australia
Engineer,Adelaide,Canonical - Jobs,173928,169000,179000,501 to 1000 Employees,Company - Private,Information Technology,2004.0,Computer Hardware Development,$25 to $50 million (USD),Australia,South Australia
Enterprise Architect,Adelaide,Canonical - Jobs,162988,161000,165000,501 to 1000 Employees,Company - Private,Information Technology,2004.0,Computer Hardware Development,$25 to $50 million (USD),Australia,South Australia
Software Engineer,Adelaide,Canonical - Jobs,135377,127000,144000,501 to 1000 Employees,Company - Private,Information Technology,2004.0,Computer Hardware Development,$25 to $50 million (USD),Australia,South Australia
Software Engineer,Adelaide,Canonical - Jobs,134277,122000,148000,501 to 1000 Employees,Company - Private,Information Technology,2004.0,Computer Hardware Development,$25 to $50 million (USD),Australia,South Australia
Social Worker,Adelaide,Nunkuwarrin Yunti,79552,77000,82000,51 to 200 Employees,Non-profit Organisation,,,,Unknown / Non-Applicable,Australia,South Australia
Assistant Director Research Scientist,Adelaide,Australian Department of the Environment,120033,116000,124000,1001 to 5000 Employees,Company - Public,,,,Unknown / Non-Applicable,Australia,South Australia
